,Linear,Dropout,LayerNorm,GELUActivation,WhisperSdpaAttention,Conv1d,WhisperEncoderLayer,WhisperDecoderLayer,_WeightNorm,ParametrizationList
0,132,62,44,39,96,2,32,32,7,7
1,84,74,25,40,12,9,4,4,7,7
2,84,62,8,39,36,9,12,12,7,7
3,512,55,25,64,72,9,24,24,7,7
4,132,74,162,18,0,2,0,0,7,7
5,64,74,43,8,0,2,0,0,7,7
6,192,14,22,24,0,2,0,0,7,7
7,384,74,62,48,0,2,0,0,7,7
8,96,146,122,40,0,9,0,0,0,0
9,0,0,8,40,0,9,0,0,0,0
10,0,0,8,12,0,5,0,0,0,0
11,0,0,4,12,0,9,0,0,0,0
12,0,0,32,39,0,9,0,0,0,0
13,0,0,8,64,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
