Task,Block Name,Model Count,Average Length
feature-extraction,embeddings,38,4.7105263157894735
feature-extraction,encoder,45,220.6888888888889
feature-extraction,pooler,23,2.0
feature-extraction,bert,3,1.0
feature-extraction,layers,2,27.0
feature-extraction,layers_0,2,12.0
feature-extraction,layers_1,2,12.0
feature-extraction,layers_10,2,12.0
feature-extraction,layers_11,2,12.0
feature-extraction,layers_12,2,12.0
feature-extraction,layers_13,2,12.0
feature-extraction,layers_14,2,12.0
feature-extraction,layers_15,2,12.0
feature-extraction,layers_16,2,12.0
feature-extraction,layers_17,2,12.0
feature-extraction,layers_18,2,12.0
feature-extraction,layers_19,2,12.0
feature-extraction,layers_2,2,12.0
feature-extraction,layers_20,2,12.0
feature-extraction,layers_21,2,12.0
feature-extraction,layers_3,2,12.0
feature-extraction,layers_4,2,12.0
feature-extraction,layers_5,2,12.0
feature-extraction,layers_6,2,12.0
feature-extraction,layers_7,2,12.0
feature-extraction,layers_8,2,12.0
feature-extraction,layers_9,2,12.0
feature-extraction,h,4,222.0
feature-extraction,decoder,3,115.33333333333333
feature-extraction,attentions,2,60.0
feature-extraction,ffns,2,48.0
feature-extraction,layer_norm1,2,12.0
feature-extraction,layer_norm2,2,12.0
image-text-to-text,encoder,8,403.5
image-text-to-text,text_model,4,9.0
image-text-to-text,vision_model,5,4.0
image-text-to-text,embeddings,2,3.5
audio-classification,conv_layers,19,7.578947368421052
audio-classification,conv_layers_0,19,7.157894736842105
audio-classification,conv_layers_1,19,3.473684210526316
audio-classification,conv_layers_2,18,3.611111111111111
audio-classification,conv_layers_3,18,3.611111111111111
audio-classification,conv_layers_4,18,3.611111111111111
audio-classification,conv_layers_5,18,3.611111111111111
audio-classification,conv_layers_6,18,3.611111111111111
audio-classification,encoder,26,184.92307692307693
audio-classification,feature_projection,18,1.0
audio-classification,embeddings,4,3.5
audio-classification,decoder,3,389.3333333333333
automatic-speech-recognition,decoder,7,225.57142857142858
automatic-speech-recognition,encoder,16,146.5625
automatic-speech-recognition,conv_layers,8,7.125
automatic-speech-recognition,conv_layers_0,8,7.25
automatic-speech-recognition,conv_layers_1,8,3.625
automatic-speech-recognition,conv_layers_2,8,3.625
automatic-speech-recognition,conv_layers_3,7,3.5714285714285716
automatic-speech-recognition,conv_layers_4,7,3.5714285714285716
automatic-speech-recognition,conv_layers_5,7,3.5714285714285716
automatic-speech-recognition,conv_layers_6,7,3.5714285714285716
automatic-speech-recognition,feature_projection,8,1.0
image-feature-extraction,embeddings,4,2.5
image-feature-extraction,encoder,3,159.33333333333334
image-feature-extraction,pooler,2,2.0
image-segmentation,conv_stem,3,5.666666666666667
image-segmentation,encoder,18,380.72222222222223
image-segmentation,decoder,5,207.6
image-segmentation,pixel_level_module,5,2.0
image-segmentation,transformer_module,5,4.4
image-segmentation,model,3,123.0
image-segmentation,embeddings,5,3.2
image-segmentation,pooler,4,1.75
fill-mask,bert,38,7.026315789473684
fill-mask,cls,43,6.0
fill-mask,encoder,78,212.71794871794873
fill-mask,lm_head,31,3.0
fill-mask,roberta,25,7.0
fill-mask,longformer,3,7.0
fill-mask,decoder,2,157.0
fill-mask,model,4,3.0
fill-mask,luke,2,10.0
fill-mask,layers,2,27.0
fill-mask,layers_0,2,12.0
fill-mask,layers_1,2,12.0
fill-mask,layers_10,2,12.0
fill-mask,layers_11,2,12.0
fill-mask,layers_12,2,12.0
fill-mask,layers_13,2,12.0
fill-mask,layers_14,2,12.0
fill-mask,layers_15,2,12.0
fill-mask,layers_16,2,12.0
fill-mask,layers_17,2,12.0
fill-mask,layers_18,2,12.0
fill-mask,layers_19,2,12.0
fill-mask,layers_2,2,12.0
fill-mask,layers_20,2,12.0
fill-mask,layers_21,2,12.0
fill-mask,layers_3,2,12.0
fill-mask,layers_4,2,12.0
fill-mask,layers_5,2,12.0
fill-mask,layers_6,2,12.0
fill-mask,layers_7,2,12.0
fill-mask,layers_8,2,12.0
fill-mask,layers_9,2,12.0
fill-mask,deberta,3,5.0
fill-mask,distilbert,3,6.0
fill-mask,layer,3,5.0
fill-mask,layer_0,3,12.0
fill-mask,layer_1,3,12.0
fill-mask,layer_2,3,12.0
fill-mask,layer_3,2,12.0
fill-mask,layer_4,2,12.0
fill-mask,layer_5,2,12.0
