,Linear,Dropout,LayerNorm,GELUActivation,NewGELUActivation,T5LayerNorm,Embedding,Conv1D,FunnelRelMultiheadAttention,FunnelPositionwiseFFN
0,72,51,25,12,12,49,1,48,12,12
1,72,37,25,12,18,25,3,96,18,18
2,73,37,25,12,8,25,3,0,30,30
3,108,75,37,3,12,13,1,0,20,20
4,73,37,25,6,12,49,3,0,24,24
5,19,7,7,6,24,0,3,0,0,0
6,56,26,13,24,30,0,2,0,0,0
7,38,7,25,2,24,0,3,0,0,0
8,74,13,13,24,12,0,3,0,0,0
9,37,13,49,24,12,0,3,0,0,0
10,145,49,5,22,20,0,3,0,0,0
11,224,5,25,12,24,0,1,0,0,0
12,13,25,51,12,0,0,1,0,0,0
13,192,98,62,12,0,0,3,0,0,0
14,192,23,45,24,0,0,2,0,0,0
15,88,74,25,12,0,0,1,0,0,0
16,168,25,25,12,0,0,1,0,0,0
17,72,123,61,12,0,0,2,0,0,0
18,72,25,25,12,0,0,2,0,0,0
19,180,49,49,24,0,0,3,0,0,0
20,73,49,49,12,0,0,1,0,0,0
21,145,37,25,16,0,0,3,0,0,0
22,72,25,25,12,0,0,2,0,0,0
23,73,24,25,12,0,0,3,0,0,0
24,73,38,50,4,0,0,2,0,0,0
25,96,37,25,12,0,0,3,0,0,0
26,72,49,49,12,0,0,3,0,0,0
27,73,25,25,12,0,0,1,0,0,0
28,145,45,31,24,0,0,2,0,0,0
29,73,38,32,4,0,0,9,0,0,0
30,88,37,33,12,0,0,3,0,0,0
31,96,85,25,6,0,0,3,0,0,0
32,84,25,41,3,0,0,10,0,0,0
33,96,9,25,6,0,0,2,0,0,0
34,72,99,9,12,0,0,1,0,0,0
35,120,20,49,12,0,0,1,0,0,0
36,73,74,25,6,0,0,2,0,0,0
37,25,13,25,0,0,0,1,0,0,0
38,144,37,25,0,0,0,3,0,0,0
39,36,25,49,0,0,0,3,0,0,0
40,144,49,9,0,0,0,1,0,0,0
41,74,9,25,0,0,0,2,0,0,0
42,97,25,13,0,0,0,2,0,0,0
43,73,13,7,0,0,0,3,0,0,0
44,145,7,1,0,0,0,3,0,0,0
45,25,1,13,0,0,0,3,0,0,0
46,73,7,25,0,0,0,3,0,0,0
47,37,37,25,0,0,0,3,0,0,0
48,19,25,13,0,0,0,3,0,0,0
49,1,13,0,0,0,0,3,0,0,0
50,36,0,0,0,0,0,3,0,0,0
51,96,0,0,0,0,0,2,0,0,0
52,73,0,0,0,0,0,2,0,0,0
53,37,0,0,0,0,0,3,0,0,0
54,0,0,0,0,0,0,3,0,0,0
55,0,0,0,0,0,0,3,0,0,0
56,0,0,0,0,0,0,1,0,0,0
57,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
