,Linear,LayerNorm,Dropout,GELUActivation,BertOutput,BertLayer,BertSdpaSelfAttention,BertSelfOutput,BertAttention,BertIntermediate
0,74,26,25,13,12,12,12,12,12,12
1,74,26,25,13,12,12,12,12,12,12
2,74,26,25,13,12,12,12,12,12,12
3,38,14,13,7,6,6,6,6,6,6
4,74,26,25,12,12,12,12,12,12,12
5,74,26,25,12,6,6,6,6,6,6
6,74,26,25,12,6,6,6,6,6,6
7,74,26,25,13,4,4,4,4,4,4
8,38,14,13,7,3,3,3,3,3,3
9,147,50,49,7,12,12,12,12,12,12
10,38,14,13,12,24,24,24,24,24,24
11,74,26,25,12,12,12,12,12,12,12
12,97,34,9,5,3,3,3,3,3,3
13,26,10,7,4,12,12,12,12,12,12
14,20,8,25,13,12,12,12,12,12,12
15,74,26,21,10,12,12,12,12,12,12
16,62,22,49,25,12,12,12,12,12,12
17,146,50,25,13,12,12,12,12,12,12
18,74,26,7,4,12,12,12,12,12,12
19,20,8,25,13,24,24,24,24,24,24
20,74,26,73,24,12,12,12,12,12,12
21,147,50,25,13,12,12,12,12,12,12
22,74,26,37,12,12,12,12,12,12,12
23,74,26,37,13,6,6,6,6,6,6
24,74,26,25,13,12,12,12,12,12,12
25,225,26,13,6,12,12,12,12,12,12
26,74,14,49,13,12,12,12,12,12,12
27,38,27,25,13,12,12,12,12,12,12
28,98,26,25,13,24,24,24,24,24,24
29,74,26,37,13,12,12,12,12,12,12
30,74,26,49,24,12,12,12,12,12,12
31,74,50,25,13,12,12,12,12,12,12
32,146,26,49,24,2,2,2,2,2,2
33,74,50,25,12,24,24,24,24,24,24
34,146,26,25,12,24,24,24,24,24,24
35,74,26,49,25,12,12,12,12,12,12
36,74,50,13,12,0,0,0,0,0,0
37,146,26,25,12,0,0,0,0,0,0
38,75,26,25,4,0,0,0,0,0,0
39,74,26,4,13,0,0,0,0,0,0
40,74,8,25,13,0,0,0,0,0,0
41,20,26,37,13,0,0,0,0,0,0
42,74,26,25,6,0,0,0,0,0,0
43,75,26,13,12,0,0,0,0,0,0
44,74,14,25,13,0,0,0,0,0,0
45,38,26,25,7,0,0,0,0,0,0
46,74,26,13,24,0,0,0,0,0,0
47,74,14,73,7,0,0,0,0,0,0
48,38,50,7,13,0,0,0,0,0,0
49,147,14,25,13,0,0,0,0,0,0
50,38,26,25,13,0,0,0,0,0,0
51,74,26,25,12,0,0,0,0,0,0
52,74,26,25,12,0,0,0,0,0,0
53,74,26,25,13,0,0,0,0,0,0
54,74,26,25,25,0,0,0,0,0,0
55,74,26,49,6,0,0,0,0,0,0
56,74,50,13,13,0,0,0,0,0,0
57,146,14,25,12,0,0,0,0,0,0
58,38,26,25,7,0,0,0,0,0,0
59,74,26,7,6,0,0,0,0,0,0
60,74,14,13,12,0,0,0,0,0,0
61,38,14,25,24,0,0,0,0,0,0
62,38,26,49,13,0,0,0,0,0,0
63,74,64,25,12,0,0,0,0,0,0
64,193,27,25,13,0,0,0,0,0,0
65,98,26,25,13,0,0,0,0,0,0
66,74,26,5,3,0,0,0,0,0,0
67,74,26,25,12,0,0,0,0,0,0
68,74,6,49,25,0,0,0,0,0,0
69,14,26,49,25,0,0,0,0,0,0
70,74,50,25,12,0,0,0,0,0,0
71,146,50,50,13,0,0,0,0,0,0
72,146,26,49,24,0,0,0,0,0,0
73,74,28,13,6,0,0,0,0,0,0
74,98,50,37,13,0,0,0,0,0,0
75,146,14,23,23,0,0,0,0,0,0
76,38,26,25,12,0,0,0,0,0,0
77,74,46,25,12,0,0,0,0,0,0
78,90,26,25,13,0,0,0,0,0,0
79,74,26,25,12,0,0,0,0,0,0
80,74,26,0,0,0,0,0,0,0,0
81,74,26,0,0,0,0,0,0,0,0
82,74,0,0,0,0,0,0,0,0,0
