Task,Model,Layer_Count,Unique_Layer_Types,Block_Count
feature-extraction,2021twitchfr-conv-bert-small-mlm-simcse,284,15,3
feature-extraction,ASRS-CMFS,214,15,4
feature-extraction,ArabicTransformer-base-encoder,330,11,4
feature-extraction,ChineseBERT-base,1,1,1
feature-extraction,ComVE-gpt2-medium,292,8,2
feature-extraction,DCS_sanskrit_albert,88,11,3
feature-extraction,LaBSE,214,15,4
feature-extraction,LaDPR-context-encoder,213,15,2
feature-extraction,MiniLM-L3-H384-uncased,61,15,4
feature-extraction,NepBERT,112,15,4
feature-extraction,Polish_RoBERTa_large_OPI,418,15,4
feature-extraction,TAPT100,214,15,4
feature-extraction,TinyBERT_L-4_H-312_v2-distill-AllNLI,78,15,4
feature-extraction,advbert_ranker_l2,44,15,4
feature-extraction,albert-zwnj-wnli-mean-tokens,166,11,3
feature-extraction,all-MiniLM-L6-v2,112,15,4
feature-extraction,athena,214,15,4
feature-extraction,bge-m3,418,15,4
feature-extraction,bloom560,267,8,2
feature-extraction,canine-c,285,18,8
feature-extraction,chinese_roberta_L-4_H-512_rdrop,78,15,4
feature-extraction,collector_multiwoz,344,10,3
feature-extraction,convbert-base-german-europeana-cased,283,15,3
feature-extraction,data2vec-text-base,226,15,4
feature-extraction,dpr-question_encoder-fr_qa-camembert,214,15,4
feature-extraction,e5-mistral-7b-instruct,419,8,34
feature-extraction,flaubert_base_uncased-xnli-sts,135,6,5
feature-extraction,fnctech,214,14,4
feature-extraction,gpt-neo-125m,196,9,2
feature-extraction,gpt2_ja,148,8,2
feature-extraction,gte-modernbert-base,291,11,25
feature-extraction,hindi-bert,224,13,3
feature-extraction,indic-bert,166,11,3
feature-extraction,iqtree-similarity,108,11,2
feature-extraction,kobart,176,10,3
feature-extraction,koelectra-base-v3-cola-finetuned,223,13,3
feature-extraction,lab2,84,10,9
feature-extraction,large-base,391,10,3
feature-extraction,longformer_coreference_joint,418,15,4
feature-extraction,medium-base,295,10,3
feature-extraction,mfaq,214,15,4
feature-extraction,model_sentence_bert,214,15,4
feature-extraction,mt5-small-finetuned-gec,150,11,2
feature-extraction,muril-large-cased,418,15,4
feature-extraction,mwudao-six-epochs,514,15,3
feature-extraction,piyush_model_1,438,11,2
feature-extraction,products_matching_aumet_scratch_2023-07-05,1,1,1
feature-extraction,qa_base,210,11,2
feature-extraction,roformer_small_discriminator,6,5,2
feature-extraction,rubert-tiny2,61,15,4
feature-extraction,small-base,199,10,3
feature-extraction,staging-pegasus-gmeetsamsum,180,8,2
feature-extraction,t5-base-swedish,222,11,2
feature-extraction,tapas_simsiam_mlm_1,232,15,4
feature-extraction,tsdae-bert-base-dv-news-title,112,15,4
feature-extraction,turing2vec-large-scored-90,1,1,1
feature-extraction,unihanlm-base,135,6,5
feature-extraction,verifier11b,414,11,2
feature-extraction,xlarge-base,487,10,3
image-text-to-text,Imagecap,619,24,4
image-text-to-text,MultimodalXray,213,16,4
image-text-to-text,Taiyi-BLIP-750M-Chinese,955,24,4
image-text-to-text,blip2-opt-2.7b,1077,28,6
image-text-to-text,cap_v0,114,13,3
image-text-to-text,img1,487,24,4
image-text-to-text,tiny-random-BlipForConditionalGeneration,214,24,4
image-text-to-text,udop-large,3,2,2
audio-classification,CA,255,13,11
audio-classification,ExHuBERT,251,9,11
audio-classification,FSLAKWS_testmode,255,13,11
audio-classification,FineTuned_Model,276,11,11
audio-classification,TestV3,83,9,11
audio-classification,W2VFSC2,155,9,11
audio-classification,audiomamba,322,7,34
audio-classification,bert-base-speaker-role-atc-en-uwb-atcc,214,15,4
audio-classification,birds_model,155,9,11
audio-classification,bwilkie,85,13,11
audio-classification,data2vec-audio-base-960h-finetuned-gtzan,263,9,11
audio-classification,digit-mask-unispeech-sat-base-ft,255,13,11
audio-classification,distil-ast-audioset,109,15,3
audio-classification,heyarmar,255,13,11
audio-classification,lan_det,683,12,3
audio-classification,mms-lid-4017,299,10,11
audio-classification,mosla-whisper-spkid-zho,907,12,3
audio-classification,sew-d-mid-400k-ft-keyword-spotting,203,12,16
audio-classification,test-speech-commands,328,12,11
audio-classification,tiny-random-ASTForAudioClassification,92,15,3
audio-classification,trainer,211,15,3
audio-classification,unispeech-sat-emotion-russian-resd,155,9,11
audio-classification,voice_emo,107,9,11
audio-classification,w2v2c_ko_emotion,613,14,11
audio-classification,wav2vec2_s-f-o_8batch_5sec_0.0001lr_unfrozen,146,10,11
audio-classification,wav2vec2_tiny_random-finetuned-gtzan,34,8,5
audio-classification,whisper-small-ft-common-language-id,347,12,3
automatic-speech-recognition,0310,146,10,11
automatic-speech-recognition,BanglaASR,347,12,3
automatic-speech-recognition,PhoWhisper-large,907,12,3
automatic-speech-recognition,baseline,55,9,7
automatic-speech-recognition,exp_w2v2t_zh-cn_wavlm_s596,155,9,11
automatic-speech-recognition,hamsa-v0.1-beta,683,12,3
automatic-speech-recognition,m-ctc-t-large,1,1,1
automatic-speech-recognition,nb-whisper-tiny-verbatim,123,12,3
automatic-speech-recognition,px,155,9,11
automatic-speech-recognition,repo,155,9,11
automatic-speech-recognition,s2t-large-librispeech-asr,247,13,3
automatic-speech-recognition,sat-base,255,13,11
automatic-speech-recognition,speecht5_asr,316,15,3
automatic-speech-recognition,temp,255,13,11
automatic-speech-recognition,tts_hubert_cluster_bart_base,176,10,3
automatic-speech-recognition,x-r-hy,251,9,11
image-feature-extraction,aimv2-large-patch14-224-HF,270,10,28
image-feature-extraction,data2vec-vision-base,246,17,3
image-feature-extraction,imagegpt-small,316,8,2
image-feature-extraction,parkinsons_pred0.1,1,1,1
image-feature-extraction,phikon,213,16,4
image-feature-extraction,tiny-vit-random,43,16,4
image-segmentation,DS6_UNet3D_woDeform,102,9,2
image-segmentation,FixRM,500,10,12
image-segmentation,GermiNet-instance-segmentation-maskformer,403,36,5
image-segmentation,PULASki_ProbUNet2D_Base_VSeg,152,11,2
image-segmentation,SMILEUHURA_DS6_UNetMSS3D_woDeform,118,9,2
image-segmentation,b2seg,370,16,2
image-segmentation,beit-base-finetuned-ade-640-640,249,19,4
image-segmentation,clipseg-rd64-refined,305,14,4
image-segmentation,faceparsing,1162,16,2
image-segmentation,fpn-tu-resnet18,281,14,3
image-segmentation,lilt-xlm-roberta-base-finetuned-with-DocLayNet-base-at-linelevel-ml384,417,16,5
image-segmentation,mask2former-swin-small-coco-instance,714,40,5
image-segmentation,maskformer-swin-base-coco,631,36,5
image-segmentation,mobilenet_v2_1-10k-steps,210,8,20
image-segmentation,mobilevit-small-10k-steps,308,18,4
image-segmentation,mobilevitv2-1.0-voc-deeplabv3,268,14,3
image-segmentation,oneformer_ade20k_swin_large,830,46,6
image-segmentation,sam_os_contours,2,1,1
image-segmentation,segformer-b3-fashion,634,16,2
image-segmentation,sidewalk-semantic-demo,196,16,2
image-segmentation,upernet-convnext-tiny,150,12,3
image-segmentation,video-mask2former-swin-tiny-youtubevis-2021-instance,486,40,5
image-segmentation,vit-model-ojas,213,16,4
image-segmentation,yolo,418,17,4
fill-mask,BioLinkBERT-large,423,17,4
fill-mask,Clinical-Longformer,216,15,4
fill-mask,ClinicalBERT,89,11,9
fill-mask,DNA_bert_6,219,17,4
fill-mask,DarijaBERT,219,17,4
fill-mask,Erlangshen-DeBERTa-v2-97M-Chinese,270,19,4
fill-mask,EuroBERT-2.1B,421,9,35
fill-mask,FERNET-News_sk,216,15,4
fill-mask,FinancialBERT,219,17,4
fill-mask,GottBERT_base_last,216,15,4
fill-mask,Italian-Legal-BERT,219,17,4
fill-mask,Lawformer,216,15,4
fill-mask,LinkBERT-large,423,17,4
fill-mask,MARBERT,219,17,4
fill-mask,MatTPUSciBERT,219,17,4
fill-mask,ModernBERT-base,297,13,26
fill-mask,MyanBERTa,216,15,4
fill-mask,POLITICS,216,15,4
fill-mask,RadBERT,219,17,4
fill-mask,RoBERTalex,216,15,4
fill-mask,RuBioRoBERTa,420,15,4
fill-mask,ScholarBERT,423,17,4
fill-mask,SecBERT,117,17,4
fill-mask,SecRoBERTa,114,15,4
fill-mask,SportsBERT,219,17,4
fill-mask,afriberta_large,182,15,4
fill-mask,afro-xlmr-small,216,15,4
fill-mask,albert-base-v2,170,12,4
fill-mask,alephbert-base,219,17,4
fill-mask,am-roberta,114,15,4
fill-mask,astroBERT,219,17,4
fill-mask,barthez,180,11,4
fill-mask,bertimbaulaw-base-portuguese-cased,219,17,4
fill-mask,bigbird-roberta-large,401,17,4
fill-mask,bsc-bio-ehr-es,216,15,4
fill-mask,chinese-roberta-wwm-ext-large,423,17,4
fill-mask,chinese_roberta_L-2_H-256,49,17,4
fill-mask,compact-biobert,117,17,4
fill-mask,custom-legalbert,219,17,4
fill-mask,deberta-v3-base,266,17,4
fill-mask,distilcamembert-base,114,15,4
fill-mask,distilkobert,50,11,6
fill-mask,distilroberta-base,114,15,4
fill-mask,dummy-model,216,15,4
fill-mask,dziribert,219,17,4
fill-mask,ernie-3.0-base-zh,232,17,4
fill-mask,grc-alignment,216,15,4
fill-mask,greeksocialbert-base-greek-uncased-v1,219,17,4
fill-mask,guwenbert-base,216,15,4
fill-mask,hseBert-it-cased,219,17,4
fill-mask,indobert-base-uncased,219,17,4
fill-mask,infoxlm-large,420,15,4
fill-mask,jobGBERT,219,17,4
fill-mask,koelectra-base-v3-generator,230,15,4
fill-mask,legalbert-large-1.7M-2,423,17,4
fill-mask,litlat-bert,216,15,4
fill-mask,longformer-gottbert-base-8192-aw512,216,15,4
fill-mask,luke-large,447,17,4
fill-mask,mMiniLMv2-L6-H384-distilled-from-XLMR-Large,114,15,4
fill-mask,macbert4csc-base-chinese,219,17,4
fill-mask,matscibert,219,17,4
fill-mask,mbarthez,348,11,4
fill-mask,mbert-swedish-distilled-cased,117,17,4
fill-mask,mdeberta-v3-base,266,17,4
fill-mask,megatron-bert-base-swedish-cased-600k,231,17,4
fill-mask,mluke-large,447,17,4
fill-mask,mpnet-base,216,14,4
fill-mask,ms_bert,219,17,4
fill-mask,muril-base-cased,219,17,4
fill-mask,music-mlm,89,11,9
fill-mask,nb-bert-base,219,17,4
fill-mask,nezha-cn-base,254,18,4
fill-mask,phobert-base,216,15,4
fill-mask,polish-roberta-large-v2,420,15,4
fill-mask,rbt3,66,17,4
fill-mask,rbt4,83,17,4
fill-mask,rbt6,117,17,4
fill-mask,robbert-v2-dutch-base,216,15,4
fill-mask,robeczech-base,216,15,4
fill-mask,rubert-tiny2,66,17,4
fill-mask,sikuroberta,219,17,4
fill-mask,slovakbert,216,15,4
fill-mask,wangchanberta-base-att-spm-uncased,216,15,4
