Layer Type,feature-extraction,image-text-to-text,audio-classification,automatic-speech-recognition,image-feature-extraction,image-segmentation,fill-mask
Linear,35.96300326441785,36.8549701249321,29.795976197223013,39.7444996451384,25.528007346189163,25.14530101984867,35.135421074904784
Dropout,13.803824032333281,12.656165127648016,21.209974497024653,15.022474568251715,13.957759412304869,9.639214826187082,11.584849767245027
LayerNorm,10.80366858386445,13.85116784356328,11.037120997449703,13.555713271823988,5.05050505050505,10.461673429104067,11.84934405416843
GELUActivation,3.5442250893828695,5.078761542639869,13.176537262680647,11.521173409037141,2.3875114784205693,3.180173264612348,5.480321625052899
Conv1D,1.1192289755945903,0.0,0.0,0.0,8.81542699724518,0.0,0.0
WhisperSdpaAttention,0.0,0.0,2.8903372060073673,5.11000709723208,0.0,0.0,0.0
Conv2d,0.0,0.16295491580662683,0.04250495891187305,0.0,0.3673094582185491,7.095076214497204,0.0
ReLU,0.4508005596144878,0.8690928843020097,0.6800793425899688,0.42583392476933996,0.0,2.8511898234455533,0.0
Conv1d,0.39639359552308406,0.0,2.9611788041938225,1.8452803406671399,0.0,0.0,0.005289885738468049
RMSNorm,0.0,0.0,0.0,0.0,4.591368227731864,0.0,0.0
ImageGPTLayerNorm,0.0,0.0,0.0,0.0,4.499540863177227,0.0,0.0
Embedding,1.1270013990362195,0.35306898424769145,0.14168319637291016,0.23657440264963334,0.18365472910927455,0.2522206382278758,1.2166737198476514
BertAttention,0.6839732628633608,0.0,0.1700198356474922,0.0,0.0,0.0,2.2852306390181973
BertIntermediate,0.6839732628633608,0.0,0.1700198356474922,0.0,0.0,0.0,2.2852306390181973
BertLayer,0.6839732628633608,0.0,0.1700198356474922,0.0,0.0,0.0,2.2852306390181973
BertOutput,0.6839732628633608,0.0,0.1700198356474922,0.0,0.0,0.0,2.2852306390181973
BertSdpaSelfAttention,0.6839732628633608,0.0,0.1700198356474922,0.0,0.0,0.0,2.2852306390181973
BertSelfOutput,0.6839732628633608,0.0,0.1700198356474922,0.0,0.0,0.0,2.2852306390181973
ParametrizationList,0.0,0.0,1.8135449135732502,1.3248166548379465,0.0,0.0,0.0
_WeightNorm,0.0,0.0,1.8135449135732502,1.3248166548379465,0.0,0.0,0.0
