,Linear,Dropout,GELUActivation,LayerNorm,Conv1d,_WeightNorm,ParametrizationList,Wav2Vec2FeedForward,Wav2Vec2NoLayerNormConvLayer,WhisperSdpaAttention
0,84,62,39,25,9,7,7,12,6,72
1,84,62,44,38,9,7,7,12,6,72
2,84,62,39,25,9,7,7,12,6,36
3,84,38,28,8,9,7,7,12,6,96
4,84,62,39,25,9,7,7,12,6,0
5,84,62,39,25,9,7,7,12,6,0
6,84,74,40,8,9,7,7,12,6,0
7,72,62,39,25,9,7,7,12,6,0
8,72,62,39,25,9,7,7,12,6,0
9,84,74,40,8,9,7,7,12,6,0
10,84,25,12,25,9,7,7,12,6,0
11,84,25,12,25,9,7,7,12,6,0
12,84,62,39,25,9,7,7,12,6,0
13,84,74,40,8,9,7,7,12,6,0
14,84,62,39,25,9,7,7,12,6,0
15,84,62,39,25,9,7,7,12,6,0
16,84,62,39,25,9,7,7,12,6,0
17,84,62,39,25,9,7,7,12,6,0
18,72,62,39,25,9,7,7,12,6,0
19,84,62,39,25,9,7,7,12,6,0
20,72,62,39,25,3,7,7,12,6,0
21,84,62,39,25,9,7,7,12,6,0
22,84,25,12,25,9,7,7,12,6,0
23,14,8,6,8,9,7,7,12,6,0
24,72,74,40,25,9,7,7,12,6,0
25,84,62,39,25,9,7,7,12,6,0
26,84,25,12,25,9,7,7,12,6,0
27,72,62,39,25,9,7,7,12,6,0
28,84,62,39,5,9,7,7,12,6,0
29,84,12,19,8,9,7,7,12,6,0
30,84,20,22,8,9,7,7,12,6,0
31,84,74,40,25,9,7,7,12,6,0
32,84,25,12,25,9,7,7,12,6,0
33,84,62,39,25,9,7,7,12,6,0
34,30,62,39,25,9,7,7,12,6,0
35,84,25,12,25,9,7,7,12,6,0
36,72,62,39,25,9,11,11,12,6,0
37,84,62,39,25,15,7,7,12,6,0
38,72,62,39,25,9,7,7,12,6,0
39,384,62,39,25,9,7,7,12,6,0
40,84,62,39,8,2,7,7,12,6,0
41,84,20,22,25,9,7,7,12,6,0
42,84,62,39,11,9,7,7,12,6,0
43,72,11,5,25,9,7,7,12,6,0
44,14,49,52,25,9,7,7,12,6,0
45,72,62,39,25,9,7,7,12,6,0
46,84,25,12,25,9,7,7,12,6,0
47,84,62,39,122,9,7,7,12,6,0
48,73,25,12,25,9,7,7,12,6,0
49,84,62,48,25,9,7,7,12,6,0
50,84,62,39,8,9,7,7,12,6,0
51,84,74,39,25,9,7,7,12,6,0
52,84,62,40,25,9,7,7,12,6,0
53,84,74,39,5,9,7,7,12,6,0
54,84,25,39,8,9,7,7,12,6,0
55,84,12,12,25,9,7,7,12,6,0
56,84,74,19,25,9,7,7,12,6,0
57,84,25,40,25,9,7,7,12,6,0
58,84,62,12,25,9,7,7,12,6,0
59,72,62,39,8,9,7,7,12,6,0
60,84,25,39,8,9,7,7,12,6,0
61,84,74,12,25,9,7,7,12,6,0
62,14,20,40,25,9,7,7,12,6,0
