,Dropout,Linear,GELUActivation,LayerNorm,Conv1d,_WeightNorm,ParametrizationList,Wav2Vec2LayerNormConvLayer,WhisperSdpaAttention,Wav2Vec2FeedForward
0,62,84,39,25,9,7,7,8,96,12
1,62,132,39,44,2,7,7,8,12,12
2,62,84,39,25,9,7,7,8,36,12
3,74,84,40,25,9,7,7,8,72,12
4,74,84,40,8,9,7,7,8,72,12
5,74,84,40,8,9,7,7,8,72,12
6,74,84,40,8,9,7,7,8,96,12
7,74,84,40,8,9,7,7,8,96,12
8,74,512,40,8,9,7,7,8,0,12
9,74,84,40,8,9,7,7,8,0,12
10,62,84,39,8,9,7,7,8,0,12
11,74,84,40,25,9,7,7,8,0,12
12,74,84,40,8,9,7,7,8,0,12
13,62,132,39,8,9,7,7,8,0,12
14,74,84,40,25,9,7,7,8,0,12
15,62,84,39,8,9,7,7,8,0,12
16,62,64,39,25,9,7,7,8,0,12
17,74,192,40,25,9,7,7,4,0,12
18,62,384,64,8,9,7,7,8,0,12
19,62,84,39,162,2,7,7,8,0,12
20,62,384,39,25,9,7,7,8,0,12
21,62,84,39,25,9,7,7,8,0,12
22,55,84,39,25,9,7,7,8,0,12
23,62,84,18,25,9,7,7,8,0,12
24,62,84,39,43,9,7,7,8,0,12
25,146,84,39,25,9,7,7,8,0,12
26,74,384,64,25,9,7,7,8,0,12
27,74,84,40,8,9,7,7,8,0,12
28,74,84,40,8,9,7,7,8,0,12
29,74,84,40,8,9,7,7,8,0,12
30,74,84,40,8,9,7,7,8,0,12
31,74,84,8,8,2,7,7,8,0,12
32,62,84,40,22,9,7,7,8,0,0
33,14,512,24,8,2,7,7,8,0,0
34,74,84,48,62,2,7,7,8,0,0
35,62,84,40,122,9,7,7,8,0,0
36,74,512,39,8,9,7,7,8,0,0
37,74,96,12,25,5,7,7,8,0,0
38,74,84,40,4,9,7,7,8,0,0
39,74,84,48,8,2,7,7,8,0,0
40,62,84,39,122,9,7,7,8,0,0
41,74,84,40,25,9,7,7,8,0,0
42,74,84,40,8,9,7,7,8,0,0
43,74,84,40,8,9,7,7,8,0,0
44,62,0,40,8,9,7,7,8,0,0
45,74,0,39,8,9,7,7,8,0,0
46,74,0,40,25,9,7,7,8,0,0
47,74,0,40,8,9,7,7,8,0,0
48,62,0,40,8,9,7,7,8,0,0
49,74,0,39,8,9,7,7,8,0,0
50,74,0,39,25,9,7,7,4,0,0
51,62,0,40,8,9,7,7,8,0,0
52,74,0,40,8,9,7,7,8,0,0
53,62,0,39,25,9,7,7,8,0,0
54,74,0,40,8,9,7,7,8,0,0
55,74,0,40,8,9,7,7,8,0,0
56,74,0,39,25,9,7,7,8,0,0
57,62,0,48,122,2,7,7,8,0,0
58,74,0,40,8,9,7,7,8,0,0
