,Linear,LayerNorm,Dropout,GELUActivation,BertOutput,BertLayer,BertSdpaSelfAttention,BertSelfOutput,BertAttention,BertIntermediate
0,74,26,25,13,12,12,12,12,12,12
1,146,50,49,24,12,12,12,12,12,12
2,74,26,25,12,12,12,12,12,12,12
3,74,26,25,13,12,12,12,12,12,12
4,74,26,25,13,12,12,12,12,12,12
5,74,26,25,13,6,6,6,6,6,6
6,74,26,25,13,12,12,12,12,12,12
7,38,14,13,7,6,6,6,6,6,6
8,74,26,25,12,12,12,12,12,12,12
9,74,26,25,12,6,6,6,6,6,6
10,74,26,25,12,4,4,4,4,4,4
11,74,26,25,12,3,3,3,3,3,3
12,74,26,25,13,12,12,12,12,12,12
13,38,14,13,7,12,12,12,12,12,12
14,74,26,25,12,24,24,24,24,24,24
15,74,26,37,12,12,12,12,12,12,12
16,74,26,25,13,12,12,12,12,12,12
17,147,50,49,7,12,12,12,12,12,12
18,38,14,13,12,3,3,3,3,3,3
19,74,26,25,12,12,12,12,12,12,12
20,97,34,9,5,12,12,12,12,12,12
21,26,10,7,4,12,12,12,12,12,12
22,20,8,25,13,12,12,12,12,12,12
23,74,26,25,12,12,12,12,12,12,12
24,74,26,25,12,12,12,12,12,12,12
25,74,26,25,12,24,24,24,24,24,24
26,74,26,25,13,12,12,12,12,12,12
27,74,26,25,12,12,12,12,12,12,12
28,74,26,21,10,12,12,12,12,12,12
29,62,22,49,25,12,12,12,12,12,12
30,146,50,13,6,12,12,12,12,12,12
31,38,14,25,13,12,12,12,12,12,12
32,74,26,25,13,6,6,6,6,6,6
33,74,26,25,13,12,12,12,12,12,12
34,74,26,7,4,12,12,12,12,12,12
35,20,8,25,13,6,6,6,6,6,6
36,74,26,13,6,3,3,3,3,3,3
37,38,14,73,24,12,12,12,12,12,12
38,147,50,25,13,12,12,12,12,12,12
39,74,26,37,12,12,12,12,12,12,12
40,74,26,37,13,12,12,12,12,12,12
41,74,26,25,13,12,12,12,12,12,12
42,225,26,49,24,24,24,24,24,24,24
43,74,50,13,6,12,12,12,12,12,12
44,146,14,49,13,12,12,12,12,12,12
45,38,27,25,13,12,12,12,12,12,12
46,98,26,25,13,12,12,12,12,12,12
47,74,26,37,13,12,12,12,12,12,12
48,74,26,49,24,12,12,12,12,12,12
49,74,50,25,13,12,12,12,12,12,12
50,146,26,49,24,12,12,12,12,12,12
51,74,50,25,12,2,2,2,2,2,2
52,146,26,37,12,12,12,12,12,12,12
53,74,26,25,12,24,24,24,24,24,24
54,74,26,25,12,24,24,24,24,24,24
55,74,26,49,25,12,12,12,12,12,12
56,74,50,13,13,12,12,12,12,12,12
57,146,26,25,13,0,0,0,0,0,0
58,75,26,25,12,0,0,0,0,0,0
59,74,26,25,13,0,0,0,0,0,0
60,74,26,25,12,0,0,0,0,0,0
61,74,26,25,4,0,0,0,0,0,0
62,74,26,4,6,0,0,0,0,0,0
63,74,8,13,13,0,0,0,0,0,0
64,20,14,25,13,0,0,0,0,0,0
65,38,26,37,13,0,0,0,0,0,0
66,74,26,25,6,0,0,0,0,0,0
67,75,26,13,24,0,0,0,0,0,0
68,74,14,49,12,0,0,0,0,0,0
69,38,50,25,24,0,0,0,0,0,0
70,146,26,49,13,0,0,0,0,0,0
71,74,50,25,7,0,0,0,0,0,0
72,146,26,13,13,0,0,0,0,0,0
73,74,14,25,13,0,0,0,0,0,0
74,38,26,25,24,0,0,0,0,0,0
75,74,26,73,7,0,0,0,0,0,0
76,74,50,13,12,0,0,0,0,0,0
77,147,14,25,4,0,0,0,0,0,0
78,38,26,7,7,0,0,0,0,0,0
79,74,8,7,13,0,0,0,0,0,0
80,20,14,25,13,0,0,0,0,0,0
81,38,26,25,13,0,0,0,0,0,0
82,74,26,25,12,0,0,0,0,0,0
83,74,26,25,13,0,0,0,0,0,0
84,74,26,25,12,0,0,0,0,0,0
85,74,26,25,13,0,0,0,0,0,0
86,74,26,25,25,0,0,0,0,0,0
87,74,26,49,6,0,0,0,0,0,0
88,74,50,13,12,0,0,0,0,0,0
89,146,14,25,13,0,0,0,0,0,0
90,38,26,25,12,0,0,0,0,0,0
91,74,26,25,13,0,0,0,0,0,0
92,74,26,25,13,0,0,0,0,0,0
93,74,26,25,7,0,0,0,0,0,0
