Task,Nesting Level,Count
feature-extraction,1,1483
feature-extraction,0,568
feature-extraction,2,2988
feature-extraction,5,14220
feature-extraction,4,14551
feature-extraction,3,7317
feature-extraction,7,504
feature-extraction,6,2134
image-text-to-text,1,216
image-text-to-text,0,137
image-text-to-text,5,5985
image-text-to-text,4,3439
image-text-to-text,3,990
image-text-to-text,2,323
image-text-to-text,6,4692
audio-classification,3,11393
audio-classification,2,1759
audio-classification,0,209
audio-classification,1,514
audio-classification,5,2173
audio-classification,4,20210
audio-classification,6,72
automatic-speech-recognition,3,10321
automatic-speech-recognition,2,1612
automatic-speech-recognition,0,147
automatic-speech-recognition,1,372
automatic-speech-recognition,5,1061
automatic-speech-recognition,4,15221
image-feature-extraction,0,53
image-feature-extraction,2,258
image-feature-extraction,3,932
image-feature-extraction,1,85
image-feature-extraction,5,620
image-feature-extraction,4,888
image-segmentation,0,210
image-segmentation,1,824
image-segmentation,2,2005
image-segmentation,3,2190
image-segmentation,4,5903
image-segmentation,5,8314
image-segmentation,6,9131
image-segmentation,7,2104
image-segmentation,8,684
image-segmentation,9,576
image-segmentation,10,216
fill-mask,2,830
fill-mask,1,508
fill-mask,6,9282
fill-mask,5,10915
fill-mask,4,5283
fill-mask,3,1981
fill-mask,0,274
fill-mask,7,72
