,Linear,LayerNorm,Dropout,Conv2d,BatchNorm2d,GELUActivation,ReLU,SegformerLayer,SegformerAttention,SegformerEfficientSelfAttention
0,48,30,24,52,52,8,112,8,8,8
1,48,30,24,18,112,8,12,8,8,8
2,312,161,156,18,32,52,12,52,52,52
3,168,72,37,119,53,12,10,52,52,52
4,240,96,73,105,32,24,22,28,28,28
5,135,52,37,7,53,12,49,52,52,52
6,146,51,156,7,53,52,49,28,28,28
7,312,161,27,10,53,28,49,16,16,16
8,54,21,84,1,112,52,49,52,52,52
9,168,89,156,105,53,28,112,52,52,52
10,312,161,84,35,53,16,49,52,52,52
11,168,89,48,57,53,24,49,8,8,8
12,96,53,74,105,53,52,49,52,52,52
13,146,50,27,53,53,52,49,52,52,52
14,54,21,156,57,53,52,33,52,52,52
15,312,161,156,33,112,8,49,28,28,28
16,312,161,156,35,112,52,49,16,16,16
17,312,161,24,53,53,52,10,52,52,52
18,48,30,156,105,0,12,112,52,52,52
19,312,161,156,105,0,12,112,16,16,16
20,312,161,25,53,0,52,49,52,52,52
21,73,25,37,53,0,28,0,16,16,16
22,72,25,156,105,0,16,0,52,52,52
23,312,161,84,18,0,52,0,8,8,8
24,168,89,48,105,0,52,0,8,8,8
25,96,53,156,119,0,24,0,52,52,52
26,312,161,156,105,0,18,0,0,0,0
27,312,161,49,1,0,16,0,0,0,0
28,145,49,48,1,0,24,0,0,0,0
29,36,1,108,105,0,52,0,0,0,0
30,96,53,156,57,0,16,0,0,0,0
31,247,103,48,53,0,52,0,0,0,0
32,312,161,156,53,0,24,0,0,0,0
33,96,53,49,33,0,8,0,0,0,0
34,312,161,24,105,0,8,0,0,0,0
35,145,49,24,105,0,24,0,0,0,0
36,48,30,73,1,0,52,0,0,0,0
37,48,30,156,53,0,0,0,0,0,0
38,207,76,0,53,0,0,0,0,0,0
39,312,161,0,22,0,0,0,0,0,0
40,0,0,0,33,0,0,0,0,0,0
41,0,0,0,8,0,0,0,0,0,0
42,0,0,0,105,0,0,0,0,0,0
43,0,0,0,33,0,0,0,0,0,0
44,0,0,0,105,0,0,0,0,0,0
45,0,0,0,1,0,0,0,0,0,0
46,0,0,0,18,0,0,0,0,0,0
47,0,0,0,18,0,0,0,0,0,0
48,0,0,0,43,0,0,0,0,0,0
49,0,0,0,53,0,0,0,0,0,0
50,0,0,0,53,0,0,0,0,0,0
51,0,0,0,10,0,0,0,0,0,0
52,0,0,0,119,0,0,0,0,0,0
53,0,0,0,119,0,0,0,0,0,0
54,0,0,0,105,0,0,0,0,0,0
55,0,0,0,53,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
