,Linear,Dropout,LayerNorm,GELUActivation,BlipTextSelfOutput,BlipTextAttention,BlipTextSelfAttention,BlipAttention,BlipEncoderLayer,BlipMLP
0,36,19,13,6,24,24,24,12,12,12
1,171,73,62,24,24,24,24,12,12,12
2,171,73,62,24,48,48,48,24,24,24
3,339,145,122,48,24,24,24,12,12,12
4,36,19,13,6,24,24,24,12,12,12
5,171,73,62,24,24,24,24,12,12,12
6,36,19,13,6,24,24,24,12,12,12
7,171,73,62,24,24,24,24,12,12,12
8,36,19,13,6,24,24,24,12,12,12
9,446,88,175,51,24,24,24,12,12,12
10,73,25,25,12,24,24,24,24,24,24
11,171,73,62,24,24,24,24,12,12,12
12,171,73,62,24,24,24,24,12,12,12
13,36,19,13,6,24,24,24,12,12,12
14,171,73,62,24,24,24,24,12,12,12
15,171,73,62,24,24,24,24,12,12,12
16,171,73,62,24,24,24,24,12,12,12
17,219,85,86,36,24,24,24,12,12,12
18,171,73,62,24,24,24,24,12,12,12
19,36,19,13,6,24,24,24,12,12,12
20,36,19,13,6,10,10,10,5,5,5
21,171,73,62,24,24,24,24,12,12,12
22,171,73,62,24,24,24,24,24,24,24
23,171,73,62,24,24,24,24,12,12,12
24,36,19,13,6,24,24,24,12,12,12
25,36,19,13,6,24,24,24,12,12,12
26,171,73,62,24,0,0,0,0,0,0
27,171,73,62,24,0,0,0,0,0,0
28,171,73,62,24,0,0,0,0,0,0
29,171,73,62,24,0,0,0,0,0,0
30,171,73,62,24,0,0,0,0,0,0
31,73,31,27,10,0,0,0,0,0,0
32,171,73,62,24,0,0,0,0,0,0
33,36,19,13,6,0,0,0,0,0,0
34,36,19,13,6,0,0,0,0,0,0
35,219,85,86,36,0,0,0,0,0,0
36,171,73,62,24,0,0,0,0,0,0
37,171,73,62,24,0,0,0,0,0,0
38,171,73,62,24,0,0,0,0,0,0
39,36,19,13,6,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
