Layer Type,feature-extraction,image-text-to-text,audio-classification,automatic-speech-recognition,image-feature-extraction,image-segmentation,fill-mask
Linear,34.8657603107506,35.24901786845774,29.4990366088632,21.14568107468504,30.853314527503528,22.90014615791274,34.78469720363699
Dropout,12.779618416542899,14.529210492966671,23.636113404899532,31.33918006542772,12.588152327221438,10.461174860839009,11.628066563733059
LayerNorm,11.23272021021364,12.932454695222406,9.939443985686761,9.048513955592679,9.167842031029618,11.114220853935379,11.899125064333504
GELUActivation,4.802924711527477,5.0247116968698515,15.1252408477842,18.723463492726385,4.372355430183357,3.5015704201262556,5.575570423743352
Conv2d,0.0,0.17741731086047396,0.055050922102945224,0.0,0.4583921015514809,9.814348353391175,0.0
Conv1d,0.11653147492288358,0.0,3.4792182769061384,3.9500243613837265,0.0,0.0,0.0034311202607651397
ParametrizationList,0.0,0.0,2.6094137076796033,3.0451729658244586,0.0,0.0,0.0
_WeightNorm,0.0,0.0,2.6094137076796033,3.0451729658244586,0.0,0.0,0.0
BertAttention,2.467725351308123,0.0,0.03303055326176713,0.0,0.0,0.0,2.2954194544518787
BertIntermediate,2.467725351308123,0.0,0.03303055326176713,0.0,0.0,0.0,2.2954194544518787
BertLayer,2.467725351308123,0.0,0.03303055326176713,0.0,0.0,0.0,2.2954194544518787
BertOutput,2.467725351308123,0.0,0.03303055326176713,0.0,0.0,0.0,2.2954194544518787
BertSdpaSelfAttention,2.467725351308123,0.0,0.03303055326176713,0.0,0.0,0.0,2.2954194544518787
BertSelfOutput,2.467725351308123,0.0,0.03303055326176713,0.0,0.0,0.0,2.2954194544518787
ReLU,0.2970410145093111,0.20276264098339883,0.13212221304706853,0.06264355815410315,0.0,3.3771807071555178,0.0
ViTAttention,0.0,0.07603599036877455,0.0,0.0,3.9492242595204514,0.037316913891221194,0.0
ViTIntermediate,0.0,0.07603599036877455,0.0,0.0,3.9492242595204514,0.037316913891221194,0.0
ViTLayer,0.0,0.07603599036877455,0.0,0.0,3.9492242595204514,0.037316913891221194,0.0
ViTOutput,0.0,0.07603599036877455,0.0,0.0,3.9492242595204514,0.037316913891221194,0.0
ViTSelfAttention,0.0,0.07603599036877455,0.0,0.0,3.9492242595204514,0.037316913891221194,0.0
